StudentID,Name,Class,StudyHoursPerDay,AttendancePercent,SleepHours,ScreenTimeHours,ExtracurricularHoursPerWeek,Maths,Physics,Chemistry,English,ComputerScience
42,Lavanya Mehta,11th,1.5,96,9.1,3.1,6.9,37,37,46,46,45
43,Sanjay Malhotra,10th,6.9,61,7.4,2.3,4.2,98,79,99,96,99
44,Kavya Reddy,11th,5.2,,6.4,2.1,2.4,65,46,56,66,62
45,Rahul Chawla,11th,0.6,63,5.3,0.9,6.0,33,35,43,,46
46,Meera Mehta,10th,1.7,61,4.2,6.7,9.1,43,31,33,43,40
47,Om Gupta,12th,1.4,89,5.5,8.9,6.7,26,37,28,45,37
48,Sanjay Malhotra,10th,5.8,70,7.2,3.6,7.7,54,63,66,72,64
49,Harsh Iyer,10th,2.3,98,9.2,8.8,4.8,46,42,47,50,42
50,Ishita Verma,11th,6.6,55,6.1,1.5,2.5,85,75,73,77,84
51,Ritu Joshi,11th,2.9,68,6.5,4.2,0.2,49,50,52,55,48
52,Mohit Pillai,10th,0.6,53,4.5,6.7,7.8,11,13,16,34,30
53,Sanjay Pillai,12th,6.5,49,8.6,5.7,2.5,65,58,74,71,63
54,Uday Nair,12th,2.5,69,4.9,7.2,1.2,42,42,44,38,47
55,Riya Agarwal,10th,2.7,93,4.4,2.5,6.2,61,58,75,78,74
56,Farhan Tiwari,11th,6.3,,6.7,5.7,0.5,56,51,56,54,65
57,Zara Mehta,11th,0.9,,4.8,6.2,2.7,49,42,45,49,46
58,Priya Kapoor,10th,1.9,48,9.0,1.4,6.1,37,38,48,50,39
59,Kabir Bose,12th,0.3,99,6.4,8.3,0.8,30,28,32,50,37
60,Xena Tiwari,11th,2.3,58,4.5,4.8,1.7,52,35,43,53,57
61,Om Iyer,11th,5.9,89,4.0,0.7,9.6,79,66,76,70,79
62,Priya Verma,10th,4.9,85,4.2,1.1,0.5,83,82,84,88,81
63,Chetan Rao,10th,5.8,85,7.5,4.6,1.3,84,75,82,80,94
64,Yash Bhatt,12th,0.5,71,4.2,4.9,1.0,18,26,30,31,27
65,Vikram Iyer,12th,5.6,56,9.3,5.5,9.6,66,66,62,78,69
66,Nikhil Reddy,10th,3.0,70,8.9,6.8,4.2,48,45,48,59,49
67,Rohan Reddy,12th,2.5,54,8.8,4.3,5.5,36,28,37,46,37
68,Abhinav Mehta,10th,5.1,83,6.9,1.9,3.3,73,53,60,79,73
69,Vikram Nair,10th,6.2,74,4.2,3.9,7.9,76,72,81,87,80
70,Rahul Pillai,12th,4.7,94,7.5,5.5,2.3,54,53,71,65,60
71,Farhan Tiwari,12th,4.7,100,5.0,6.1,7.8,64,52,62,79,62
72,Mohit Sharma,12th,5.6,68,6.9,4.0,9.5,64,61,72,59,
73,Yogesh Pillai,11th,4.2,51,5.2,6.8,9.4,41,40,43,58,51
74,Devansh Pillai,12th,5.9,95,8.5,4.5,2.9,75,75,80,83,
75,Sneha Rao,11th,2.4,,6.4,5.9,6.6,48,28,50,40,
76,Vidya Patel,11th,4.4,82,4.8,2.5,7.8,53,61,70,71,72
77,Yogesh Rathore,12th,0.8,,6.4,8.0,5.6,26,27,33,36,36
78,Jyoti Bose,12th,3.6,63,8.6,3.7,4.2,56,62,69,78,78
79,Rohan Rathore,12th,3.1,53,5.9,7.8,3.7,37,28,39,49,48
80,Mohit Reddy,10th,4.7,95,4.6,2.1,7.1,70,66,65,69,59
81,Deepika Pillai,10th,5.6,79,7.4,5.7,6.3,76,65,77,73,71
82,Riya Mehta,11th,4.1,61,8.7,2.1,0.3,48,50,50,57,55
83,Suresh Agarwal,12th,6.9,75,8.2,5.2,0.8,86,,85,91,77
84,Imran Chatterjee,12th,1.6,48,6.0,6.9,6.9,22,14,23,31,14
85,Tara Gupta,11th,2.4,91,7.3,8.6,8.3,45,49,46,48,48
86,Imran Nair,12th,2.5,62,4.3,8.8,7.0,38,46,46,46,44
87,Imran Patel,12th,0.3,61,5.5,1.8,9.2,38,23,45,48,39
88,Om Desai,11th,5.6,57,8.3,6.6,9.8,49,57,,61,63
89,Nisha Nair,12th,2.5,77,7.2,2.1,1.9,46,40,46,40,45
90,Divya Yadav,12th,0.5,62,6.9,0.7,0.3,50,40,51,57,54
91,Aditya Singh,11th,0.9,48,4.2,3.6,7.1,29,25,33,21,23
92,Pooja Chawla,10th,2.8,60,9.5,2.4,0.4,40,46,37,52,56
93,Aditya Pillai,12th,2.3,82,6.4,6.0,4.7,39,35,50,55,54
94,Karan Bhatt,11th,6.3,53,8.3,8.6,9.3,52,65,58,64,69
95,Imran Mehta,11th,3.1,60,4.9,2.8,8.4,36,34,38,40,50
96,Manish Vardhan,10th,6.8,,9.5,9.0,9.3,61,52,64,62,66
97,Nisha Patel,10th,2.7,47,9.0,2.4,5.7,28,34,29,42,35
98,Aditya Agarwal,11th,1.7,49,7.8,4.9,8.4,42,33,52,46,40
99,Riya Verma,10th,5.0,81,7.3,0.5,5.2,71,71,81,81,81
100,Lavanya Chawla,12th,0.5,96,7.0,0.7,9.7,31,28,31,46,33
101,Yogesh Chawla,10th,2.6,51,7.9,0.9,1.2,44,33,40,56,50
102,Uday Kapoor,12th,3.1,98,7.3,0.8,9.7,51,55,62,68,56
103,Xena Reddy,10th,6.1,87,7.5,3.6,5.3,67,56,80,83,79
104,Vidya Bhatt,11th,6.5,84,5.5,5.1,9.2,75,75,79,89,87
105,Jyoti Agarwal,12th,6.5,73,4.7,1.6,2.9,71,63,84,82,74
106,Tara Iyer,11th,5.8,46,5.3,2.4,5.1,,52,57,65,73
107,Karan Bhatt,11th,3.2,48,6.8,7.6,3.5,44,43,46,44,51
108,Bhavna Vardhan,11th,2.1,85,7.9,8.3,1.3,43,49,63,56,63
109,Jyoti Patel,12th,2.7,67,6.1,5.2,3.8,44,35,36,38,45
110,Suresh Joshi,11th,1.7,72,8.9,8.6,0.3,37,26,35,42,34
111,Imran Sharma,12th,0.8,59,4.5,3.7,4.0,29,32,30,43,33
112,Karan Patel,12th,1.5,86,8.9,6.4,8.2,61,44,57,54,61
113,Uday Chatterjee,10th,4.9,45,8.3,3.1,6.9,41,42,42,52,53
114,Farhan Bhatt,10th,1.3,78,8.2,1.4,1.0,36,34,,46,44
115,Vikram Agarwal,10th,2.6,73,7.4,0.7,2.2,54,37,47,57,45
116,Manish Iyer,10th,1.9,69,7.7,5.5,4.1,40,39,34,34,40
117,Meera Kapoor,12th,0.7,52,6.3,8.3,5.5,16,11,11,18,16
118,Jyoti Joshi,10th,2.8,58,8.0,3.7,9.6,46,29,34,39,44
119,Ishita Mehta,10th,4.8,50,7.0,2.8,7.7,57,47,50,66,62
120,Mohit Vardhan,11th,1.6,90,5.7,2.4,1.3,47,55,61,51,48
121,Farhan Sharma,12th,5.0,74,5.4,7.7,3.5,56,65,69,60,61
122,Tanvi Rao,12th,6.6,81,8.6,5.3,7.2,73,,83,76,85
123,Neha Verma,11th,1.7,67,8.1,1.2,6.9,45,32,51,54,49
124,Simran Pillai,12th,1.7,88,6.8,8.4,1.3,38,47,50,54,46
125,Aditya Rao,11th,1.2,88,7.9,6.2,2.4,34,37,33,33,35
126,Sanjay Pillai,12th,1.3,74,8.6,4.0,2.1,35,31,43,46,43
127,Pallavi Gupta,10th,0.4,93,6.7,6.9,3.3,35,43,47,42,40
128,Vidya Joshi,10th,1.2,46,4.1,3.9,1.5,29,24,17,24,24
129,Arjun Desai,11th,5.9,61,5.3,0.9,5.7,79,76,76,73,79
130,Imran Rao,11th,0.9,,8.7,4.6,2.2,14,25,19,21,35
131,Pooja Chatterjee,10th,2.8,45,6.4,5.3,3.5,21,24,39,43,36
132,Suresh Pillai,11th,4.1,71,9.2,4.6,6.5,51,42,60,53,57
133,Qasim Chawla,11th,2.0,59,5.0,8.1,5.5,27,10,19,28,27
134,Ananya Malhotra,12th,0.8,73,4.7,4.8,5.1,46,42,40,45,38
135,Tara Verma,11th,1.9,68,4.2,6.5,9.6,26,36,45,32,35
136,Bhavna Pillai,10th,5.8,52,5.3,4.9,5.2,57,51,57,55,58
137,Ritu Chawla,10th,5.6,76,4.6,7.3,1.9,61,59,75,74,
138,Mohit Iyer,10th,5.7,47,4.4,5.8,6.4,65,58,57,65,64
139,Ishita Singh,11th,5.2,66,7.2,3.8,3.5,54,40,64,52,53
140,Qasim Agarwal,12th,4.2,53,9.5,0.8,5.6,72,63,66,76,78
141,Bhavna Reddy,12th,6.0,60,5.9,5.2,4.1,52,59,55,56,
142,Imran Kapoor,12th,5.5,55,7.2,1.7,7.2,61,64,57,67,62
143,Abhinav Gupta,11th,2.4,56,5.5,2.7,0.2,27,22,29,44,31
144,Ananya Gupta,12th,2.6,53,4.0,2.8,6.4,24,20,21,35,26
145,Tara Yadav,11th,6.9,70,5.4,4.4,0.1,87,74,93,85,85
146,Gauri Reddy,12th,4.9,100,7.1,6.1,6.0,71,67,75,78,71
147,Arjun Nair,10th,4.0,51,7.6,7.1,3.6,53,47,54,64,57
148,Pooja Chatterjee,10th,3.8,67,8.3,2.6,9.8,59,58,57,56,54
149,Simran Joshi,12th,2.8,69,9.2,5.8,2.2,37,32,49,43,41
150,Deepika Nair,10th,5.8,63,4.5,0.5,8.7,60,68,58,76,60
151,Arjun Patel,12th,0.5,52,4.8,8.3,1.3,11,12,12,20,14
152,Aditya Rao,12th,0.4,53,6.8,2.5,4.3,7,8,12,15,15
153,Mohit Kaur,12th,2.7,76,9.3,1.2,9.7,72,51,57,77,60
154,Nikhil Bose,10th,4.7,79,5.6,3.3,4.1,80,71,77,87,87
155,Mohit Nair,12th,4.4,69,9.5,7.5,6.6,49,47,51,52,51
156,Kabir Tiwari,11th,4.3,69,5.3,5.9,7.4,55,48,57,59,51
157,Kabir Chatterjee,11th,3.8,75,7.1,9.0,0.7,54,46,62,65,69
158,Nikhil Kapoor,11th,5.9,97,6.4,4.0,7.0,74,73,82,79,74
159,Nisha Mehta,10th,4.9,68,6.7,6.1,6.2,65,,59,62,72
160,Nisha Rao,11th,6.1,57,4.7,8.6,2.9,74,60,74,71,67
161,Tara Rathore,12th,4.2,49,7.7,3.3,0.7,56,54,66,66,63
162,Karan Chawla,11th,3.6,77,8.1,0.6,2.3,55,46,55,53,
163,Ishita Agarwal,11th,0.7,88,5.1,3.4,8.6,42,27,33,41,52
164,Ananya Yadav,11th,2.0,99,5.6,3.9,8.9,51,48,58,54,62
165,Divya Reddy,11th,1.6,90,7.1,0.9,3.1,49,43,59,60,57
166,Ishita Verma,10th,3.2,85,4.7,1.7,8.8,,64,61,74,74
167,Zara Rathore,12th,1.0,51,5.1,1.3,0.5,28,17,32,22,26
168,Zara Desai,12th,1.3,61,5.8,7.7,1.5,43,22,40,41,38
169,Neha Verma,11th,1.1,58,9.5,8.5,5.3,19,18,18,35,28
170,Chetan Joshi,12th,6.5,47,7.2,1.4,0.0,57,53,66,67,74
171,Bhavna Desai,10th,5.6,,6.2,0.8,0.4,77,73,73,88,86
172,Kabir Patel,10th,2.1,51,8.8,1.5,5.0,34,31,44,42,41
173,Mohit Joshi,10th,0.4,48,6.7,7.2,5.7,17,11,16,28,34
174,Suresh Vardhan,12th,5.1,48,8.5,1.1,3.4,47,43,48,60,54
175,Sneha Mehta,12th,3.7,55,4.8,3.4,1.4,35,45,48,46,52
176,Uday Verma,11th,5.6,50,7.6,8.8,5.8,63,59,69,61,73
177,Uday Tiwari,11th,5.3,82,6.9,8.5,1.2,81,78,73,77,88
178,Aisha Rao,12th,5.5,66,8.5,4.0,0.9,77,69,,,69
179,Jyoti Mehta,11th,4.0,50,5.9,7.7,6.2,31,38,44,38,35
180,Divya Reddy,10th,1.8,97,7.4,8.1,3.9,53,49,53,,43
181,Manish Chatterjee,11th,4.8,80,8.0,6.9,6.7,59,49,54,57,63
182,Simran Rao,11th,3.6,89,9.4,1.0,8.3,72,71,78,68,69
183,Ritu Agarwal,12th,0.6,70,5.0,5.5,9.8,25,17,31,44,35
184,Nikhil Singh,12th,3.6,48,8.4,3.5,1.4,55,48,48,50,61
185,Kabir Rathore,12th,2.5,73,6.2,6.3,3.6,43,27,43,42,50
186,Waseem Desai,12th,3.1,49,5.5,3.6,9.2,38,34,37,49,55
187,Pallavi Kaur,12th,4.8,71,8.6,6.6,9.3,47,53,54,64,56
188,Zara Mehta,12th,5.2,71,7.7,8.2,1.3,49,53,63,61,58
189,Divya Joshi,12th,6.0,60,6.8,8.1,9.0,74,71,75,76,65
190,Ishita Joshi,11th,0.9,88,7.1,8.1,0.8,23,27,25,28,36
191,Om Chawla,10th,3.5,63,7.5,3.4,3.3,48,44,62,51,50
192,Uday Nair,12th,0.9,52,6.2,4.9,5.9,25,20,18,16,17
193,Jyoti Rathore,11th,4.4,52,6.2,2.9,1.9,60,50,57,66,73
194,Abhinav Bhatt,12th,0.4,67,5.1,0.6,8.6,38,29,41,39,35
195,Jyoti Vardhan,10th,2.6,99,4.8,7.1,4.7,69,57,58,69,61
196,Zara Nair,12th,3.2,91,8.0,1.9,9.0,53,60,54,74,70
197,Nikhil Yadav,12th,4.0,74,6.7,5.9,2.1,56,38,45,54,56
198,Abhinav Chatterjee,10th,6.1,55,6.2,6.2,7.1,60,52,67,55,71
199,Rahul Rao,12th,5.3,47,5.3,8.2,2.0,38,43,47,46,42
200,Vikram Vardhan,12th,0.9,54,8.4,1.9,5.1,27,,31,34,29
201,Simran Pillai,12th,4.4,74,6.2,0.6,7.4,59,48,59,58,66
202,Abhinav Joshi,10th,0.9,62,5.7,7.0,1.5,36,15,24,35,32
203,Chetan Chatterjee,10th,6.4,98,4.3,6.7,6.7,77,57,68,69,80
204,Sanjay Rao,12th,6.5,93,7.4,6.9,7.5,,72,79,,85
205,Sanjay Kaur,10th,5.8,65,6.3,3.4,0.6,58,47,57,73,69
206,Chetan Sharma,12th,2.0,90,4.7,8.6,6.1,37,35,43,41,50
207,Divya Rao,10th,4.3,89,6.2,1.2,7.3,61,66,75,82,73
208,Yogesh Bose,10th,3.3,91,8.8,7.8,4.6,46,52,49,54,62
209,Waseem Agarwal,11th,4.7,56,4.3,4.6,8.4,38,40,42,56,45
210,Bhavna Nair,11th,2.8,,7.6,7.9,9.1,42,25,48,50,50
211,Harsh Reddy,10th,2.2,75,6.4,1.5,4.6,45,48,50,51,55
212,Karan Tiwari,10th,3.5,58,7.1,7.9,9.6,45,48,49,53,53
213,Karan Chawla,12th,2.4,58,5.5,7.2,0.7,39,35,48,48,36
214,Arjun Rao,11th,1.3,96,8.9,3.2,0.4,59,,59,62,58
215,Nikhil Agarwal,10th,6.6,70,4.1,1.9,3.6,67,78,81,89,80
216,Chetan Yadav,10th,3.0,66,6.3,6.5,5.7,45,40,55,57,51
217,Arjun Tiwari,10th,4.2,93,4.3,2.5,1.7,66,70,77,69,70
218,Priya Patel,10th,2.2,56,8.8,4.1,5.3,53,44,46,55,60
219,Manish Agarwal,11th,1.5,89,9.3,6.0,4.1,50,54,61,58,59
220,Pooja Chawla,11th,5.6,59,9.4,1.3,9.7,70,72,78,77,85
221,Mohit Mehta,11th,4.4,86,4.4,5.4,9.4,60,57,,71,65
222,Vidya Rathore,12th,2.0,82,9.3,2.2,7.7,41,43,55,,51
223,Aarav Singh,10th,5.0,45,5.0,2.0,9.0,58,51,60,61,64
224,Ananya Nair,10th,2.1,49,7.4,6.4,2.6,43,35,50,37,47
225,Karan Iyer,10th,0.7,54,5.1,6.5,8.0,23,27,24,35,35
226,Om Yadav,12th,0.7,59,8.0,2.4,2.9,38,37,34,36,34
227,Yogesh Patel,11th,2.4,91,5.7,7.1,3.2,38,32,40,44,50
228,Tanvi Vardhan,10th,1.0,49,7.4,4.2,0.7,34,36,35,41,43
229,Ananya Rao,11th,1.2,99,9.4,8.2,1.3,44,30,49,40,39
230,Deepika Pillai,10th,3.9,89,4.4,1.9,5.3,64,71,70,72,68
231,Harsh Iyer,10th,6.7,83,8.5,6.9,3.9,77,75,81,83,77
232,Tara Yadav,11th,1.5,92,8.7,6.3,6.6,24,27,32,31,33
233,Tanvi Reddy,12th,2.7,69,5.6,8.5,0.1,48,40,52,41,42
234,Nikhil Kapoor,11th,5.9,53,5.3,6.6,6.7,56,42,58,62,61
235,Meera Iyer,11th,5.5,100,8.6,6.7,3.6,59,69,66,72,77
236,Harsh Patel,12th,4.5,81,6.6,8.1,7.3,60,43,63,59,65
237,Riya Pillai,12th,6.1,86,9.0,0.8,5.9,86,71,91,86,92
238,Bhavna Malhotra,10th,2.8,90,4.4,4.0,3.3,64,59,58,71,74
239,Vidya Desai,10th,6.1,68,4.3,1.0,5.0,89,82,85,83,86
240,Suresh Nair,10th,3.1,77,7.5,1.0,7.7,71,65,62,65,75
241,Jyoti Bose,12th,5.1,62,8.6,4.1,5.1,54,66,67,66,63
242,Aditya Joshi,10th,6.1,67,7.4,3.1,1.6,58,58,63,71,71
243,Ritu Tiwari,10th,3.7,59,4.4,6.5,9.7,39,35,43,55,38
244,Uday Bose,12th,3.0,72,7.4,1.8,6.5,50,57,60,66,69
245,Yash Kaur,10th,6.3,96,9.4,5.7,8.1,77,69,90,95,82
246,Priya Reddy,11th,0.8,96,9.0,5.1,2.8,44,37,35,49,38
247,Abhinav Kaur,10th,4.0,50,8.3,1.8,8.4,42,37,49,42,40
248,Yogesh Rao,10th,1.1,55,4.6,2.2,3.6,34,42,41,46,48
249,Devansh Rao,12th,4.7,73,6.9,6.3,0.3,63,53,63,62,70
250,Pooja Bose,11th,1.3,86,4.0,7.3,7.9,26,29,39,39,48
251,Harsh Rathore,11th,7.0,58,8.4,7.2,8.2,87,84,89,96,85
252,Chetan Verma,10th,3.2,50,7.2,8.2,5.9,44,37,35,49,45
253,Vikram Verma,11th,5.9,64,5.2,6.1,2.8,68,66,65,71,72
254,Neha Verma,12th,5.9,96,7.7,1.0,9.9,90,84,84,83,83
255,Jyoti Bhatt,11th,6.2,50,8.0,3.4,9.3,53,49,63,60,65
256,Rahul Singh,12th,2.3,94,4.3,3.8,6.2,56,56,56,69,66
257,Neha Desai,11th,3.0,55,9.0,8.1,4.7,52,47,51,49,49
258,Meera Kapoor,12th,4.0,65,8.2,3.2,4.6,67,69,74,81,81
259,Aditya Patel,11th,6.8,60,7.9,5.5,4.2,58,65,64,68,65
260,Gauri Gupta,11th,2.4,81,7.8,4.9,3.5,53,50,63,54,59
261,Harsh Kapoor,12th,0.5,83,8.6,8.8,1.1,32,29,47,51,44
262,Devansh Reddy,11th,3.9,55,4.9,1.8,5.9,52,56,60,56,62
263,Devansh Joshi,10th,5.9,82,6.1,3.4,7.7,71,63,79,68,65
264,Gauri Vardhan,11th,0.8,94,9.2,2.6,1.5,37,40,37,39,48
265,Mohit Verma,11th,0.6,78,8.1,6.6,5.1,26,22,,24,23
266,Meera Joshi,11th,4.7,66,5.2,3.9,6.9,51,54,67,63,56
267,Yash Gupta,12th,5.8,75,4.7,1.1,4.4,68,82,85,75,77
268,Sanjay Bose,11th,3.0,,5.5,8.8,4.4,31,41,35,48,41
269,Devansh Gupta,11th,7.0,65,8.7,6.9,5.6,84,87,89,86,84
270,Tara Nair,12th,3.7,77,4.1,4.2,6.0,39,41,43,52,48
271,Rohan Nair,11th,2.4,88,5.2,4.3,3.6,41,44,42,53,51
272,Riya Malhotra,10th,3.2,83,6.9,6.2,9.7,54,48,66,63,64
273,Imran Patel,11th,1.3,54,9.4,2.1,1.6,38,23,40,31,33
274,Aisha Bhatt,11th,6.9,70,6.1,3.7,0.1,79,74,72,84,76
275,Rahul Iyer,12th,5.5,65,4.7,5.4,5.2,63,61,82,67,72
276,Meera Agarwal,10th,2.8,47,6.9,5.2,3.0,41,24,39,37,41
277,Manish Vardhan,12th,3.3,50,5.7,7.9,6.9,35,14,29,31,36
278,Yash Desai,10th,1.8,69,6.0,3.4,6.1,37,45,37,47,43
279,Riya Joshi,11th,0.3,87,5.1,5.0,3.6,20,15,34,29,27
280,Aditya Desai,10th,0.8,56,7.8,2.7,6.4,23,17,25,27,20
281,Tara Vardhan,12th,5.9,87,6.4,7.6,5.7,75,82,83,85,90
282,Karan Singh,12th,0.5,84,8.9,4.2,8.3,42,32,41,44,38
283,Yash Pillai,11th,2.3,92,9.0,7.9,9.9,52,50,54,45,53
284,Yogesh Desai,11th,2.8,96,6.5,2.2,9.6,57,44,54,54,56
285,Chetan Vardhan,12th,5.6,90,6.0,2.3,3.5,85,79,93,88,82
286,Vikram Nair,11th,2.6,52,6.7,3.7,5.8,,34,42,41,31
287,Xena Malhotra,11th,3.2,88,7.9,4.2,8.5,43,42,51,48,60
288,Vidya Tiwari,11th,5.9,46,9.4,7.9,4.4,71,64,81,77,68
289,Vidya Singh,12th,2.4,61,7.0,6.7,1.0,52,37,44,52,47
290,Abhinav Malhotra,10th,5.4,100,4.0,3.3,1.1,85,71,88,94,82
291,Imran Pillai,11th,4.2,78,8.6,4.5,1.8,66,58,62,61,71
292,Aarav Sharma,11th,4.5,85,4.9,2.1,8.2,73,78,,77,84
293,Simran Pillai,10th,2.2,95,5.6,7.3,6.9,30,43,46,47,45
294,Jyoti Patel,11th,6.8,69,4.6,8.4,3.8,61,55,66,69,62
295,Tara Nair,11th,1.3,78,4.9,1.8,2.7,,36,54,61,57
296,Mohit Bose,10th,5.7,68,4.7,4.5,0.2,52,46,60,69,58
297,Bhavna Kaur,12th,6.6,71,5.7,1.0,1.1,78,79,83,84,81
298,Mohit Gupta,10th,5.7,76,5.9,3.6,3.2,75,70,82,86,82
299,Ishita Mehta,12th,4.6,96,8.5,0.6,2.6,78,84,78,83,80
300,Aditya Kapoor,11th,4.9,57,6.1,6.4,7.4,56,54,69,69,62
301,Zara Desai,10th,5.9,95,5.5,7.2,4.8,67,71,75,69,69
302,Zara Desai,10th,6.9,96,5.8,7.7,3.0,,70,70,,89
303,Vikram Chawla,12th,3.1,87,6.8,2.6,2.9,66,71,78,78,77
304,Om Chawla,11th,2.6,55,5.1,6.5,5.7,44,46,46,56,40
305,Vidya Nair,12th,2.1,72,8.3,4.3,4.6,47,48,48,63,48
306,Abhinav Chawla,11th,5.6,85,8.6,7.4,0.6,62,72,73,71,66
307,Farhan Kapoor,10th,4.6,77,4.1,0.8,7.9,58,50,72,69,66
308,Harsh Rao,11th,3.0,49,6.7,5.0,1.0,33,25,25,36,41
309,Suresh Nair,12th,6.5,97,6.6,8.1,3.5,71,76,78,90,90
310,Pallavi Rao,12th,4.2,54,7.4,4.6,6.3,56,40,62,64,60
311,Rahul Chatterjee,12th,5.1,83,8.2,5.7,1.4,81,70,87,80,89
312,Lavanya Verma,10th,1.4,98,4.0,7.6,6.8,42,39,49,58,49
313,Neha Rathore,10th,5.7,59,9.0,1.0,9.1,72,60,74,80,65
314,Xena Agarwal,11th,2.1,61,7.3,2.1,6.1,32,26,36,36,48
315,Om Singh,11th,1.0,67,6.2,2.0,2.1,36,39,47,59,43
316,Gauri Bose,11th,5.6,79,6.0,7.7,8.8,54,44,57,68,57
317,Karan Agarwal,11th,6.1,61,6.7,3.9,2.3,76,,83,88,81
318,Aisha Pillai,10th,2.4,77,4.7,3.3,8.3,47,38,45,42,37
319,Om Iyer,11th,6.2,100,5.2,6.9,4.7,70,76,87,79,82
320,Riya Kapoor,10th,1.8,64,6.9,5.5,4.5,46,42,58,54,48
321,Lavanya Agarwal,12th,1.7,48,8.5,1.0,3.0,22,19,28,37,26
322,Bhavna Patel,11th,0.7,80,5.8,4.1,1.2,20,18,24,25,22
323,Chetan Mehta,12th,5.1,96,6.2,5.3,1.9,86,81,83,,87
324,Tanvi Iyer,10th,4.1,59,5.6,6.6,3.5,56,59,,67,60
325,Ishita Malhotra,12th,4.0,93,5.2,8.9,4.7,62,65,72,76,73
326,Pooja Chatterjee,10th,6.9,70,5.9,1.3,3.5,87,86,93,85,91
327,Yash Vardhan,12th,4.8,80,5.9,6.1,9.7,62,68,66,78,69
328,Riya Kaur,12th,2.8,52,6.8,4.1,0.9,51,47,46,59,50
329,Manish Bhatt,12th,1.0,60,8.9,0.8,7.0,31,23,36,38,44
330,Kavya Reddy,10th,3.6,77,6.9,2.0,7.9,51,38,56,62,52
331,Lavanya Rathore,10th,4.0,52,7.8,4.4,9.7,48,33,48,47,42
