StudentID,Name,Class,StudyHoursPerDay,AttendancePercent,SleepHours,ScreenTimeHours,AssignmentSubmissionRate,Test1_Score,Test2_Score,Test3_Score
154,Lavanya Mehta,12th,3.5,50,5.2,5.0,59,55,53,49
155,Kavya Vardhan,11th,4.9,45,6.8,0.9,94,74,66,78
156,Kabir Desai,12th,4.0,43,9.4,3.1,93,64,50,63
157,Devansh Rathore,10th,6.3,75,9.1,2.1,33,76,79,76
158,Pallavi Reddy,10th,4.7,94,7.8,7.0,64,63,51,59
159,Deepika Mehta,10th,6.1,44,8.9,6.2,90,64,54,54
160,Gauri Bose,12th,2.2,72,7.4,0.9,73,46,48,50
161,Aarav Iyer,12th,6.7,43,6.1,8.2,45,57,59,66
162,Vidya Kaur,11th,0.9,89,9.1,8.3,94,41,40,19
163,Vidya Chatterjee,12th,2.2,99,6.3,3.2,75,62,64,66
164,Manish Gupta,10th,0.8,51,5.8,8.2,69,26,22,26
165,Yogesh Patel,11th,0.7,57,6.8,3.4,47,16,12,5
166,Suresh Gupta,11th,5.0,,5.2,5.5,97,72,75,74
167,Lavanya Sharma,10th,5.5,80,8.2,3.6,34,60,62,56
168,Aarav Singh,10th,4.0,58,5.2,2.5,41,62,62,49
169,Tanvi Chatterjee,12th,3.2,41,8.6,5.2,75,46,48,46
170,Qasim Desai,11th,4.9,53,5.5,2.2,91,51,54,66
171,Arjun Malhotra,12th,1.8,,9.5,8.5,36,23,24,16
172,Vidya Nair,11th,0.8,95,7.1,7.2,39,37,37,39
173,Kabir Chawla,11th,1.5,74,8.8,7.9,87,42,27,24
174,Yash Nair,11th,2.3,98,7.8,5.0,75,46,53,50
175,Ishita Agarwal,11th,1.6,77,4.8,1.2,85,43,49,50
176,Zara Kaur,10th,0.8,62,6.2,7.2,52,18,20,22
177,Pallavi Sharma,10th,3.0,41,6.7,2.3,88,50,49,37
178,Om Chatterjee,12th,2.0,64,5.5,4.3,100,39,38,49
179,Manish Sharma,12th,0.9,95,5.3,5.2,62,40,32,36
180,Aditya Sharma,11th,6.1,76,6.3,5.8,80,75,82,81
181,Devansh Bhatt,11th,5.5,89,9.5,8.3,71,64,71,60
182,Om Agarwal,12th,1.8,42,7.6,4.8,74,31,27,34
183,Rohan Kapoor,11th,5.5,69,9.2,1.1,74,73,64,64
184,Manish Chawla,12th,1.7,,5.2,7.8,37,40,19,10
185,Yogesh Desai,10th,4.3,97,6.8,4.3,31,73,75,76
186,Sanjay Singh,12th,3.3,82,6.2,4.2,84,50,49,51
187,Yash Mehta,11th,6.3,97,4.1,6.4,32,58,64,70
188,Kavya Rathore,12th,4.9,70,8.7,7.3,73,63,50,60
189,Vidya Rao,12th,6.4,91,5.5,5.9,95,93,94,99
190,Ananya Kaur,10th,5.9,83,6.6,8.4,78,59,56,68
191,Qasim Rathore,11th,1.2,99,4.4,1.7,67,44,33,23
192,Yash Chawla,11th,1.8,73,8.8,5.9,83,39,37,38
193,Lavanya Joshi,11th,2.2,96,5.3,1.8,40,42,41,47
194,Pallavi Bose,10th,4.0,45,4.4,1.2,88,44,49,36
195,Deepika Verma,12th,1.5,83,8.2,7.9,58,33,40,36
196,Priya Pillai,10th,0.5,63,9.0,8.2,41,10,13,10
197,Arjun Malhotra,10th,3.7,48,8.0,3.7,30,41,48,44
198,Mohit Rao,11th,2.4,48,4.4,2.8,49,34,35,32
199,Devansh Rathore,11th,2.1,40,4.5,1.0,57,44,48,50
200,Devansh Chawla,12th,5.1,49,8.9,2.9,86,65,75,73
201,Jyoti Rao,10th,3.7,86,8.1,2.4,86,58,51,56
202,Bhavna Reddy,11th,1.5,98,8.4,8.8,78,47,40,45
203,Riya Singh,10th,1.7,40,4.6,5.6,36,15,18,26
204,Imran Bose,12th,1.0,63,5.1,3.5,47,17,17,24
205,Harsh Malhotra,10th,3.1,48,5.0,1.9,33,35,30,38
206,Suresh Tiwari,11th,1.7,95,8.6,2.7,31,54,42,52
207,Aarav Yadav,12th,4.6,88,7.1,4.8,56,74,74,75
208,Pallavi Joshi,10th,1.7,82,4.2,8.1,48,26,30,32
209,Neha Gupta,10th,6.3,52,4.7,3.8,45,64,53,32
210,Bhavna Gupta,12th,1.2,100,5.8,7.6,37,39,39,26
211,Aisha Kapoor,11th,3.8,58,6.7,8.3,79,44,48,40
212,Abhinav Iyer,12th,3.0,48,7.0,2.8,43,36,43,44
213,Qasim Mehta,10th,5.5,61,4.5,5.9,68,63,70,74
214,Neha Bhatt,11th,1.8,75,5.0,1.5,77,57,51,60
215,Aditya Kaur,10th,1.2,62,5.8,7.1,87,28,30,20
216,Manish Yadav,11th,6.3,59,9.2,2.6,100,72,73,50
217,Devansh Chawla,11th,3.2,98,6.4,5.5,75,61,62,59
218,Chetan Patel,12th,3.8,45,4.1,1.9,41,37,47,50
219,Yogesh Chawla,10th,3.1,47,4.6,5.1,64,51,47,24
220,Uday Desai,11th,4.9,90,6.5,2.3,96,62,66,57
221,Yash Kaur,12th,6.3,42,4.3,6.7,30,42,45,53
222,Simran Yadav,11th,3.9,75,6.4,7.4,61,51,54,49
223,Xena Joshi,12th,0.8,89,8.8,1.3,64,40,26,11
224,Karan Nair,11th,0.9,66,4.1,6.2,45,35,34,26
225,Lavanya Agarwal,10th,1.8,43,4.9,8.4,71,15,26,22
226,Ananya Yadav,12th,2.1,78,8.0,6.5,91,49,40,40
227,Tanvi Tiwari,12th,2.5,57,7.8,4.0,35,42,45,47
228,Ishita Malhotra,11th,3.3,43,6.2,5.1,84,44,49,46
229,Riya Chawla,10th,4.1,76,9.4,7.5,47,40,50,45
230,Qasim Rao,10th,2.4,55,8.7,5.8,41,40,35,39
231,Harsh Malhotra,10th,3.0,72,9.3,2.2,94,48,62,51
232,Lavanya Singh,11th,0.7,100,7.9,4.5,69,41,33,39
233,Ishita Singh,11th,1.6,87,6.7,7.2,50,39,35,41
234,Harsh Mehta,11th,3.6,83,8.4,3.2,33,61,60,62
235,Jyoti Rao,10th,3.3,94,8.8,4.0,46,57,62,65
236,Vidya Malhotra,10th,4.3,78,6.9,6.7,73,57,50,60
237,Aarav Verma,11th,0.5,52,8.4,8.7,47,8,12,15
238,Karan Kapoor,12th,1.2,71,9.2,2.0,49,43,51,49
239,Yash Singh,10th,5.6,75,6.1,8.7,99,71,71,56
240,Riya Iyer,12th,2.6,88,7.6,4.7,98,55,56,61
241,Mohit Gupta,10th,6.2,93,8.2,4.4,32,67,72,71
242,Vikram Rao,12th,4.2,93,6.2,4.3,80,64,74,77
243,Mohit Bhatt,11th,3.9,57,6.4,4.9,,49,42,42
244,Arjun Chatterjee,12th,3.8,,6.6,5.9,59,40,40,54
245,Chetan Desai,12th,1.2,95,8.1,0.9,90,46,42,32
246,Chetan Malhotra,11th,1.8,100,7.6,8.0,99,54,54,51
247,Mohit Rathore,10th,7.0,95,4.2,3.6,37,77,70,78
248,Abhinav Chawla,11th,5.3,87,4.2,8.4,30,55,55,56
249,Aisha Iyer,10th,0.8,61,7.2,8.6,99,33,27,21
250,Zara Nair,10th,0.4,85,5.4,1.1,74,29,38,37
251,Riya Verma,11th,2.5,45,7.9,2.7,87,42,44,52
252,Kavya Patel,12th,2.0,93,4.3,1.2,97,68,64,66
253,Simran Singh,11th,1.0,56,9.4,1.5,64,24,12,13
254,Mohit Rathore,12th,1.5,57,8.7,4.2,95,42,43,40
255,Aisha Pillai,11th,5.6,66,9.3,0.7,34,73,74,66
256,Ritu Agarwal,10th,1.9,43,6.1,2.9,89,31,36,41
257,Bhavna Kaur,12th,1.9,94,4.1,5.3,62,46,47,56
258,Arjun Verma,10th,1.8,,8.4,5.9,86,64,62,59
259,Yogesh Joshi,10th,6.3,97,6.0,6.8,30,66,46,48
260,Aisha Rao,11th,0.5,57,9.0,6.7,86,26,27,9
261,Yogesh Patel,12th,5.2,85,6.3,8.3,38,59,61,62
262,Neha Agarwal,12th,1.0,80,7.7,8.3,88,33,31,35
263,Uday Bhatt,11th,3.8,58,6.3,2.1,78,62,64,62
264,Abhinav Reddy,12th,5.6,64,5.7,8.8,72,65,60,66
265,Kabir Agarwal,12th,4.4,46,5.2,7.3,48,56,47,49
266,Pallavi Pillai,12th,5.4,45,6.9,2.9,66,54,50,37
267,Vidya Desai,12th,4.7,92,5.8,4.8,91,76,65,80
268,Karan Nair,11th,6.6,71,6.3,1.7,56,92,83,89
269,Aditya Bose,12th,2.7,83,5.3,2.3,65,43,40,52
270,Jyoti Iyer,12th,5.9,66,9.0,6.2,30,64,64,63
271,Riya Verma,11th,0.9,95,5.4,8.8,70,41,28,25
272,Yogesh Tiwari,11th,5.9,56,8.8,4.6,72,71,64,63
273,Nikhil Reddy,10th,2.9,71,7.0,3.4,81,64,64,50
274,Om Agarwal,12th,2.1,85,9.0,1.4,82,52,60,56
275,Chetan Gupta,12th,0.4,65,8.2,1.5,72,31,42,35
276,Gauri Mehta,11th,0.4,55,6.8,6.7,32,16,5,5
277,Farhan Agarwal,10th,6.0,46,8.2,3.2,61,62,66,61
278,Karan Reddy,10th,1.5,41,8.7,5.6,54,21,20,29
279,Tara Rao,11th,2.8,99,4.5,8.9,72,52,50,51
280,Ishita Malhotra,12th,3.8,94,4.8,1.3,51,72,77,66
281,Riya Kapoor,12th,3.8,58,4.5,1.2,57,57,58,45
282,Nikhil Joshi,10th,2.8,54,8.1,3.3,57,36,36,38
283,Ishita Mehta,12th,4.8,97,8.5,3.0,92,77,73,82
284,Arjun Reddy,11th,4.3,92,4.4,7.3,87,68,67,51
285,Devansh Reddy,11th,2.4,92,6.6,2.1,92,54,42,43
286,Lavanya Joshi,10th,1.7,83,8.6,2.8,31,33,48,33
287,Deepika Chawla,12th,3.8,69,6.3,8.9,81,53,51,51
288,Waseem Chatterjee,12th,3.2,41,8.9,6.0,72,32,29,27
289,Imran Nair,10th,4.6,84,5.3,9.0,76,68,63,72
290,Rohan Bose,10th,0.7,54,4.3,8.9,84,21,32,20
291,Ananya Patel,12th,0.9,95,7.5,1.0,97,43,46,45
292,Pooja Gupta,11th,5.4,40,6.3,1.1,53,64,58,51
293,Vikram Verma,12th,6.9,73,4.4,2.9,74,94,94,81
294,Divya Tiwari,11th,5.8,93,5.0,0.8,65,84,80,91
295,Vikram Nair,10th,1.6,,7.5,9.0,58,36,41,41
296,Ananya Bose,10th,5.5,67,8.9,4.5,77,65,50,61
297,Rohan Joshi,12th,3.5,77,7.7,6.1,84,50,49,53
298,Meera Bose,12th,5.4,,5.8,1.1,91,77,82,82
299,Tanvi Bose,12th,6.9,89,7.0,8.2,61,75,65,76
300,Sanjay Agarwal,10th,3.5,93,9.0,2.6,66,54,67,66
301,Vikram Nair,11th,0.4,90,9.0,0.9,87,52,51,49
302,Qasim Kaur,11th,2.2,43,9.0,8.0,88,23,19,5
303,Nisha Chawla,11th,3.7,50,6.9,0.7,72,39,32,30
304,Riya Pillai,10th,5.3,55,8.2,5.1,55,62,56,60
305,Harsh Bose,10th,0.8,71,5.9,4.2,91,36,47,49
306,Abhinav Verma,11th,1.5,96,4.8,5.5,77,45,42,47
307,Suresh Malhotra,12th,4.0,58,9.0,6.8,36,51,41,53
308,Nikhil Bhatt,11th,1.7,81,6.4,1.2,100,52,42,43
309,Tara Rao,10th,2.3,99,8.1,2.3,56,52,65,61
310,Tara Bose,10th,3.2,66,7.7,6.3,88,55,53,54
311,Sanjay Bose,11th,1.0,46,9.0,2.5,45,18,18,26
312,Pallavi Malhotra,11th,1.4,95,9.2,3.2,52,50,48,48
313,Om Agarwal,10th,3.0,95,4.2,5.6,34,59,48,50
314,Mohit Pillai,10th,5.3,51,5.5,6.1,69,46,44,42
315,Aisha Bose,12th,4.4,86,5.1,8.9,,56,51,48
316,Ritu Chawla,11th,6.7,42,7.9,4.7,54,68,52,56
317,Gauri Kapoor,10th,3.4,95,7.5,7.5,44,53,55,51
318,Mohit Bose,11th,2.1,68,5.9,0.9,74,47,49,42
319,Aarav Reddy,11th,4.4,46,8.2,4.0,33,49,32,21
320,Kavya Chatterjee,10th,4.9,45,6.3,1.4,87,46,59,50
321,Gauri Kaur,11th,2.6,62,5.4,2.8,33,54,39,50
322,Priya Sharma,10th,0.8,77,6.9,3.2,43,38,30,21
323,Aditya Rao,11th,4.8,66,4.8,6.0,51,56,69,66
324,Abhinav Chatterjee,12th,5.0,47,8.7,2.7,54,59,63,55
325,Aarav Chatterjee,10th,4.6,44,9.5,8.3,84,50,47,46
326,Karan Rathore,11th,5.7,79,5.4,2.1,89,71,79,64
327,Arjun Malhotra,11th,2.2,53,7.7,1.7,39,39,45,42
328,Suresh Verma,12th,3.2,52,6.7,0.6,76,40,40,45
329,Zara Bose,12th,2.3,76,4.6,7.5,41,47,39,40
330,Aarav Kaur,10th,3.1,43,6.1,3.7,78,44,39,19
331,Sanjay Mehta,11th,0.3,88,5.9,1.6,56,37,37,25
332,Nikhil Iyer,12th,3.3,75,6.7,3.8,73,62,67,63
333,Tanvi Kaur,11th,3.5,77,8.7,3.3,66,50,54,46
334,Jyoti Rathore,10th,2.7,68,7.2,8.2,79,48,47,42
335,Qasim Verma,11th,5.1,59,8.0,6.5,50,59,49,50
336,Karan Kapoor,11th,3.3,47,5.5,2.1,58,36,34,21
337,Vikram Mehta,11th,4.3,41,7.4,0.7,38,62,57,47
338,Nisha Patel,10th,5.3,73,7.0,1.6,75,71,74,77
339,Divya Tiwari,12th,4.1,,6.9,3.7,37,59,66,59
340,Nikhil Nair,11th,6.0,90,4.6,3.5,48,74,80,79
341,Yogesh Singh,10th,1.2,74,6.7,1.8,44,39,27,20
342,Imran Gupta,10th,0.5,42,8.5,3.7,81,16,9,8
343,Om Joshi,10th,4.8,60,9.0,8.2,80,60,70,73
344,Imran Chawla,10th,3.1,92,5.9,5.1,95,68,65,56
345,Aditya Rao,11th,5.5,76,7.0,6.9,,80,81,79
346,Ritu Patel,10th,3.3,100,8.2,0.9,97,69,76,76
347,Aditya Verma,12th,3.2,55,4.1,4.7,78,35,44,41
348,Kavya Sharma,12th,4.4,78,6.1,7.6,30,52,54,50
349,Sneha Singh,10th,6.7,78,5.6,8.8,64,77,73,64
350,Meera Mehta,12th,2.4,71,4.7,1.3,87,65,60,62
351,Rahul Bose,12th,6.7,91,6.9,0.9,42,89,87,91
352,Imran Singh,12th,3.6,69,8.8,4.8,78,45,34,35
353,Aisha Vardhan,12th,5.8,57,6.5,2.8,98,86,74,74
354,Karan Iyer,12th,0.4,80,4.8,5.2,61,19,28,22
355,Nikhil Iyer,12th,2.0,43,6.6,2.1,88,38,39,32
356,Arjun Malhotra,11th,6.2,86,5.8,7.8,97,80,88,88
357,Arjun Kaur,11th,1.8,78,4.4,1.1,54,42,25,11
358,Manish Pillai,12th,6.6,48,8.3,7.6,47,66,62,57
359,Karan Kapoor,12th,2.2,70,6.2,3.7,46,46,46,40
360,Ishita Yadav,11th,3.2,91,4.0,4.4,57,58,60,46
361,Ananya Bhatt,10th,1.8,97,6.1,1.9,90,55,47,58
362,Devansh Kaur,12th,4.2,56,6.3,1.2,84,53,50,61
363,Vikram Chatterjee,11th,5.0,65,4.2,4.7,68,62,53,34
364,Qasim Agarwal,11th,1.1,90,4.2,1.1,83,52,44,36
365,Rahul Mehta,10th,1.2,42,5.3,4.5,70,31,40,36
366,Imran Chatterjee,12th,1.8,58,6.6,1.9,58,37,30,33
367,Vikram Yadav,12th,0.5,41,4.7,4.2,34,18,10,8
368,Jyoti Chawla,10th,5.4,84,5.7,1.1,94,70,65,66
369,Uday Bose,12th,5.9,70,4.9,5.4,46,68,65,52
370,Lavanya Joshi,12th,5.0,79,6.2,5.2,69,59,69,65
371,Imran Gupta,12th,0.7,71,9.2,8.2,38,35,23,22
372,Divya Yadav,10th,6.5,86,9.4,7.6,67,77,68,79
373,Kavya Singh,12th,5.2,61,7.0,3.1,96,51,54,65
374,Aditya Rathore,10th,4.7,74,8.5,2.5,32,60,72,70
375,Tanvi Desai,12th,4.1,,6.6,4.7,82,67,71,60
376,Rahul Sharma,12th,4.1,43,4.6,7.7,50,31,26,29
377,Simran Kapoor,11th,6.7,62,9.4,1.9,71,88,89,86
378,Abhinav Bhatt,11th,6.5,97,8.0,2.9,86,92,91,86
379,Aditya Rao,10th,5.4,94,7.8,7.1,80,68,65,57
380,Zara Bose,12th,4.6,99,8.3,2.4,65,71,72,82
381,Simran Mehta,10th,6.0,64,7.1,3.0,82,82,73,52
382,Aisha Malhotra,10th,6.4,64,9.3,3.6,46,66,65,65
383,Devansh Kaur,10th,5.9,72,8.9,5.1,69,63,65,66
384,Vikram Nair,11th,5.4,56,4.8,4.5,77,73,74,77
385,Aisha Kaur,11th,3.0,57,8.4,4.4,81,52,46,28
